user,item,skill,correct,wins,fails
2099,76429,90,0,0,0
2099,76430,90,1,0,1
2099,76431,90,1,1,1
2099,76432,90,1,2,1
2099,76433,90,0,3,1
2099,76434,90,0,3,2
2099,76339,90,0,3,3
2099,76340,90,0,3,4
2099,76341,90,1,3,5
2099,76342,90,1,4,5
2099,76343,90,1,5,5
2099,76344,90,1,6,5
2099,76346,90,1,7,5
2099,76349,90,1,8,5
2099,76387,90,0,9,5
2099,76388,90,1,9,6
2099,76389,90,1,10,6
2099,76390,90,1,11,6
2099,76391,90,1,12,6
2099,76392,90,1,13,6
2099,76393,90,1,14,6
2099,76396,90,1,15,6
2099,76403,90,0,16,6
2099,76404,90,1,16,7
2099,76405,90,1,17,7
2099,76406,90,1,18,7
2099,76407,90,0,19,7
2099,76408,90,1,19,8
2099,76409,90,1,20,8
2099,76410,90,0,21,8
2099,76251,90,0,21,9
2099,76252,90,1,21,10
2099,76253,90,1,22,10
2099,76254,90,1,23,10
2099,76255,90,1,24,10
2099,76256,90,1,25,10
2099,76257,90,0,26,10
2099,76258,90,1,26,11
2099,76371,90,0,27,11
3109,53835,80,1,0,0
3109,54108,43,1,0,0
3109,54112,43,1,1,0
3109,53837,80,1,1,0
3109,54109,43,1,2,0
2930,54469,82,1,0,0
2930,53995,81,1,0,0
2930,54484,82,1,1,0
2930,54490,82,1,2,0
2930,54104,43,0,0,0
2938,53987,81,0,0,0
2938,54466,82,1,0,0
2932,53839,80,1,0,0
2932,54112,43,1,0,0
2932,54463,82,1,0,0
2932,53836,80,1,1,0
2932,54104,43,1,1,0
2930,54478,82,1,3,0
2930,53841,80,1,0,0
2930,54111,43,1,0,1
2930,54487,82,1,4,0
2930,53987,81,1,1,0
2938,54105,43,1,0,0
2923,84801,38,0,0,0
2938,54007,81,0,0,1
2934,53999,81,1,0,0
2934,54466,82,1,0,0
2934,54109,43,0,0,0
3108,54112,43,1,0,0
3108,54466,82,1,0,0
3108,54015,81,1,0,0
3108,53836,80,1,0,0
3108,54019,81,1,1,0
2934,54015,81,1,1,0
2938,54104,43,0,1,0
2934,53837,80,0,0,0
2934,53987,81,0,2,0
2938,54475,82,1,1,0
2938,54481,82,1,2,0
2938,54112,43,1,1,1
2938,54107,43,1,2,1
2938,54110,43,1,3,1
2934,54481,82,0,1,0
2934,54472,82,1,1,1
2934,54487,82,1,2,1
2934,54103,43,1,0,1
2940,54469,82,0,0,0
2940,54007,81,0,0,0
2040,49276,38,0,0,0
2040,53791,83,1,0,0
2923,84732,56,1,0,0
2923,85458,46,1,0,0
2923,84729,56,1,1,0
2923,85474,46,1,1,0
900,85478,46,0,0,0
2925,54481,82,1,0,0
2925,85446,46,0,0,0
2925,85339,56,1,0,0
2925,84731,56,1,1,0
2925,84817,38,1,0,0
2925,84813,38,1,1,0
2925,84801,38,1,2,0
2925,54469,82,1,1,0
2925,54109,43,0,0,0
2925,53991,81,1,0,0
2925,53838,80,1,0,0
2925,53834,80,0,1,0
2925,54478,82,1,2,0
885,85474,46,1,0,0
885,85466,46,0,1,0
885,84801,38,1,0,0
885,85454,46,1,1,1
885,84732,56,1,0,0
885,84789,38,1,1,0
885,84730,56,1,1,0
878,85478,46,0,0,0
878,85470,46,1,0,1
878,84801,38,1,0,0
878,85486,46,1,1,1
878,88830,56,1,0,0
878,85458,46,1,2,1
525,51153,97,0,0,0
525,51186,97,0,0,1
525,66819,97,0,0,2
525,66820,97,0,0,3
525,66821,97,0,0,4
525,66858,97,0,0,5
525,66859,97,0,0,6
508,97555,99,0,0,0
5,74294,13,0,0,0
7,47848,7,1,0,0
7,47844,7,0,1,0
7,57527,8,0,0,0
512,74358,13,0,0,0
984,58204,6,1,0,0
7,57464,8,0,0,1
7,57485,8,1,0,2
870,57473,8,1,0,0
7,57542,8,1,1,2
512,74338,13,0,0,1
7,57539,8,1,2,2
984,57735,6,1,1,0
870,57635,8,1,1,0
2923,90537,82,0,0,0
2923,90332,82,1,0,1
2923,54481,82,1,1,1
2923,90326,82,1,2,1
2923,90335,82,1,3,1
38,56928,7,0,0,0
853,54394,82,0,0,0
853,54256,82,1,0,1
45,50875,7,1,0,0
853,54244,82,1,1,1
853,54373,82,1,2,1
1026,50815,7,0,0,0
853,57494,8,0,0,0
853,57509,8,1,0,1
853,57470,8,1,1,1
853,57527,8,1,2,1
853,46971,8,0,3,1
45,60030,37,0,0,0
38,51159,97,1,0,0
853,56862,7,0,0,0
45,57488,8,0,0,0
3732,54463,82,0,0,0
1119,50787,7,1,0,0
1119,50748,7,1,1,0
45,57542,8,1,0,1
1112,56946,7,0,0,0
45,57476,8,1,1,1
45,57509,8,1,2,1
1119,56928,7,0,2,0
45,61454,52,0,0,0
38,59991,37,1,0,0
45,46950,8,1,3,1
1119,56979,7,1,2,1
1119,56916,7,1,3,1
44,75458,95,0,0,0
1119,56904,7,1,4,1
38,54087,81,0,0,0
45,46878,8,0,4,1
1119,54083,81,0,0,0
44,75453,95,1,0,1
44,75444,95,1,1,1
853,56808,7,1,0,1
44,75446,95,1,2,1
2156,85474,46,1,0,0
2156,84789,38,1,0,0
1119,54095,81,0,0,1
2156,85339,56,1,0,0
2156,84793,38,1,1,0
2676,85486,46,1,0,0
2156,88830,56,1,1,0
1112,56925,7,0,0,1
2676,84732,56,1,0,0
853,56751,7,1,1,1
45,57506,8,0,4,2
2676,84730,56,1,1,0
2156,50992,98,1,0,0
38,54067,81,1,0,1
44,71491,30,0,0,0
2676,85462,46,0,1,0
1026,58045,6,1,0,0
1119,97800,34,1,0,0
44,71507,30,1,0,1
1026,58081,6,1,1,0
44,71467,30,1,1,1
45,57500,8,1,4,3
1119,65281,33,0,0,0
38,58085,6,1,0,0
45,57470,8,1,5,3
44,71500,30,0,2,1
45,57533,8,1,6,3
38,57899,6,0,1,0
524,57644,2,1,0,0
1129,54128,43,0,0,0
39,97543,99,1,0,0
851,57973,6,0,0,0
39,51468,1,1,0,0
851,57867,6,0,0,1
1129,54460,82,0,0,0
1129,53877,80,0,0,0
851,57787,6,0,0,2
851,57957,6,0,0,3
39,51403,1,1,1,0
519,46800,8,0,0,0
851,51342,3,0,0,0
519,46920,8,0,0,1
851,74554,14,0,0,0
1480,54250,82,0,0,0
1129,58814,83,0,0,0
519,46953,8,0,0,2
851,74566,14,0,0,1
1480,54376,82,1,0,1
851,53991,81,0,0,0
1480,54247,82,1,1,1
1129,58812,83,1,0,1
1129,58807,83,0,1,1
1480,54361,82,1,2,1
1129,53777,83,0,1,2
519,46863,8,0,0,3
1480,53837,80,1,0,0
1480,53987,81,1,0,0
851,65777,34,0,0,0
1480,54114,43,0,0,0
851,66264,34,0,0,1
1129,53778,83,0,1,3
879,84797,38,0,0,0
879,85454,46,0,0,0
878,53836,80,1,0,0
879,85474,46,1,0,1
879,84729,56,1,0,0
879,84731,56,1,1,0
879,84730,56,1,2,0
879,85340,56,1,3,0
879,53838,80,1,0,0
879,53983,81,1,0,0
879,53841,80,1,1,0
879,90534,82,1,0,0
879,54469,82,1,1,0
878,90323,82,1,0,0
878,54484,82,1,1,0
878,53833,80,1,1,0
878,90531,82,1,2,0
897,84789,38,0,0,0
2932,53838,80,1,2,0
897,84805,38,1,0,1
897,84813,38,1,1,1
2932,54478,82,1,1,0
2932,54466,82,1,2,0
897,84797,38,1,2,1
2932,54111,43,1,2,0
897,85343,56,1,0,0
897,84821,38,1,3,1
2652,53991,81,0,0,0
2652,90534,82,1,0,0
2652,53841,80,1,0,0
2652,54484,82,1,1,0
2652,90320,82,1,2,0
2652,54466,82,1,3,0
1019,55930,59,1,0,0
1013,55699,59,1,0,0
1021,55654,59,0,0,0
1015,55747,59,0,0,0
1174,55756,59,1,0,0
1014,55783,59,0,0,0
3592,55930,59,1,0,0
1015,55748,59,0,0,1
1021,55655,59,0,0,1
1014,55784,59,0,0,1
1021,55656,59,1,0,2
1014,55785,59,0,0,2
1022,55855,59,0,0,0
1022,84593,97,1,0,0
1021,55768,59,1,1,2
1022,55856,59,0,0,1
1015,55749,59,1,0,2
1013,51156,97,1,0,0
1015,55663,59,0,1,2
1174,51207,97,1,0,0
1021,55717,59,1,2,2
1014,55732,59,1,0,3
1022,55857,59,0,0,2
1013,51076,98,1,0,0
1015,55664,59,0,1,3
1014,55936,59,1,1,3
1174,51016,98,0,0,0
1174,51017,98,0,0,1
1021,55753,59,1,3,2
1014,55726,59,1,2,3
1015,55665,59,0,1,4
1013,51005,98,0,1,0
1014,51177,97,1,0,0
1021,66825,97,1,0,0
1015,55957,59,1,1,5
1014,51120,98,0,0,0
1014,51121,98,0,0,1
1015,55843,59,1,2,5
1019,51088,98,1,0,0
1015,55831,59,1,3,5
1021,51052,98,1,0,0
1014,51122,98,1,0,2
1014,51123,98,1,1,2
1014,51024,98,0,2,2
1014,51025,98,0,2,3
1174,51018,98,0,0,2
1014,51026,98,1,2,4
1013,50994,98,1,1,1
1014,51027,98,0,3,4
1013,50987,98,1,2,1
1174,51019,98,0,0,3
1174,51004,98,0,0,4
1014,51084,98,0,3,5
1013,50985,98,1,3,1
1014,51085,98,0,3,6
1013,80822,47,0,0,0
1014,51086,98,1,3,7
1014,51087,98,0,4,7
875,85486,46,0,0,0
875,84817,38,1,0,0
875,85340,56,1,0,0
875,84733,56,1,1,0
875,85339,56,1,2,0
875,84813,38,1,1,0
875,54472,82,0,0,0
881,84789,38,1,0,0
881,84809,38,1,1,0
881,84801,38,1,2,0
881,84729,56,1,0,0
881,85462,46,1,0,0
881,54478,82,1,0,0
875,54011,81,1,0,0
875,90317,82,1,0,1
881,90531,82,1,1,0
875,53835,80,1,0,0
881,53991,81,1,0,0
875,54466,82,1,1,1
875,90323,82,1,2,1
881,53842,80,1,0,0
881,90335,82,1,2,0
874,85462,46,1,0,0
874,84805,38,1,0,0
874,84817,38,1,1,0
874,54019,81,0,0,0
874,54466,82,1,0,0
874,54463,82,1,1,0
874,53987,81,1,0,1
877,85458,46,1,0,0
877,84825,38,1,0,0
877,84809,38,1,1,0
877,85339,56,1,0,0
877,85342,56,1,1,0
877,54019,81,0,0,0
877,53834,80,1,0,0
877,90537,82,1,0,0
877,90317,82,1,1,0
877,90470,82,1,2,0
877,54478,82,1,3,0
3109,54487,82,1,0,0
3109,54104,43,1,3,0
3109,54469,82,1,1,0
3109,53983,81,1,0,0
3109,53833,80,1,2,0
853,60096,48,0,0,0
853,75450,95,0,0,0
853,75463,95,0,0,1
853,75441,95,1,0,2
853,75455,95,1,1,2
853,75462,95,1,2,2
853,75555,27,0,0,0
853,75478,27,1,0,1
853,75524,27,0,1,1
853,75487,27,1,1,2
853,75490,27,1,2,2
853,75520,27,1,3,2
853,75623,27,0,4,2
853,75619,27,1,4,3
853,75608,27,1,5,3
853,75618,27,1,6,3
853,74472,13,0,0,0
853,74420,13,0,0,1
901,84797,38,1,0,0
901,84805,38,1,1,0
901,84809,38,1,2,0
901,84825,38,1,3,0
901,84793,38,1,4,0
901,90543,82,1,0,0
901,53841,80,1,0,0
901,54019,81,1,0,0
901,54481,82,1,1,0
901,90332,82,1,2,0
2940,53987,81,0,0,1
2940,85482,46,1,0,0
2940,84793,38,0,0,0
2940,85339,56,1,0,0
2940,85341,56,1,1,0
2940,85458,46,1,1,0
2940,84805,38,1,0,1
2940,85474,46,1,2,0
2938,53834,80,1,0,0
2938,54003,81,1,0,2
2938,54011,81,0,1,2
2938,84729,56,1,0,0
2938,85454,46,1,0,0
2938,84805,38,1,0,0
2938,84801,38,1,1,0
2938,85486,46,1,1,0
900,84793,38,1,0,0
900,85341,56,1,0,0
900,84730,56,1,1,0
900,85466,46,1,0,1
900,90501,82,1,0,0
900,90540,82,1,1,0
900,54003,81,1,0,0
900,53835,80,1,0,0
900,54015,81,1,1,0
891,90470,82,1,0,0
891,53999,81,1,0,0
891,53834,80,1,0,0
891,53835,80,1,1,0
891,90531,82,1,1,0
2161,90338,82,1,0,0
2161,53839,80,1,0,0
2161,54490,82,1,1,0
2161,53841,80,1,1,0
2161,90470,82,1,2,0
2161,84732,56,1,0,0
2161,84793,38,1,0,0
2161,85458,46,1,0,0
2161,85478,46,1,1,0
2161,85339,56,1,1,0
525,66860,97,1,0,7
525,66852,97,0,1,7
893,85450,46,1,0,0
893,84731,56,1,0,0
893,84789,38,1,0,0
893,84813,38,1,1,0
893,85341,56,1,1,0
893,54003,81,1,0,0
893,53842,80,0,0,0
2932,84733,56,0,0,0
2932,85486,46,1,0,0
2932,85470,46,1,1,0
2932,85341,56,1,0,1
2932,84805,38,1,0,0
2932,84809,38,1,1,0
893,54475,82,1,0,0
893,90326,82,1,1,0
893,90501,82,1,2,0
902,90543,82,1,0,0
902,90311,82,1,1,0
902,90329,82,1,2,0
902,54019,81,1,0,0
902,53833,80,1,0,0
902,84731,56,1,0,0
902,85458,46,1,0,0
902,85339,56,1,1,0
902,88830,56,1,2,0
902,85470,46,1,1,0
2930,84731,56,1,0,0
2930,85342,56,1,1,0
2930,85341,56,1,2,0
2930,84733,56,1,3,0
2930,85474,46,0,0,0
2930,85446,46,0,0,1
2930,84793,38,0,0,0
888,85478,46,0,0,0
888,84789,38,1,0,0
888,84821,38,1,1,0
888,85474,46,1,0,1
888,84733,56,1,0,0
888,85486,46,1,1,1
888,54019,81,1,0,0
888,90543,82,1,0,0
888,53840,80,1,0,0
888,53834,80,1,1,0
888,54490,82,1,1,0
2651,85458,46,1,0,0
2651,84731,56,1,0,0
2651,85462,46,1,1,0
2651,84813,38,1,0,0
2651,84789,38,1,1,0
2651,53834,80,1,0,0
2651,53833,80,1,1,0
2651,54472,82,1,0,0
2651,90540,82,1,1,0
2651,90479,82,1,2,0
2940,53991,81,0,0,2
2940,54105,43,0,0,0
2940,53836,80,1,0,0
2940,54484,82,1,0,1
2940,54472,82,1,1,1
14,49242,7,1,0,0
880,85454,46,0,0,0
880,85341,56,1,0,0
880,84793,38,1,0,0
880,85474,46,1,0,1
880,88830,56,1,1,0
3109,85454,46,1,0,0
3109,85458,46,1,1,0
3109,84730,56,1,0,0
2145,84729,56,1,0,0
2145,85462,46,1,0,0
2145,88830,56,1,1,0
2145,84801,38,1,0,0
2145,84732,56,1,2,0
2145,54478,82,1,0,0
2145,53838,80,1,0,0
2145,53991,81,1,0,0
2145,54484,82,1,1,0
2145,90326,82,1,2,0
2938,54103,43,1,4,1
2938,54472,82,1,3,0
2938,54463,82,1,4,0
2938,54111,43,1,5,1
45,51354,3,0,0,0
45,51322,3,0,0,1
45,51404,1,0,0,0
3108,85446,46,0,0,0
3108,85466,46,1,0,1
3108,88830,56,1,0,0
3108,84730,56,1,1,0
3108,85478,46,1,1,1
3108,85486,46,1,2,1
3108,54484,82,1,1,0
3108,90540,82,1,2,0
3108,53835,80,1,1,0
891,84729,56,1,0,0
891,85454,46,1,0,0
891,85486,46,1,1,0
891,84817,38,1,0,0
2930,54007,81,1,2,0
2930,54105,43,1,1,1
1129,54169,82,1,0,1
1129,53797,83,0,1,4
1129,58809,83,1,1,5
1129,58798,83,1,2,5
1129,53780,83,0,3,5
2934,84821,38,1,0,0
2934,85454,46,0,0,0
2934,85478,46,0,0,1
2934,85466,46,1,0,2
2927,84809,38,1,0,0
2927,85341,56,1,0,0
2927,85343,56,1,1,0
2927,85342,56,1,2,0
2927,84817,38,1,1,0
2927,90323,82,1,0,0
2927,90335,82,1,1,0
2927,53838,80,1,0,0
2927,54003,81,1,0,0
2927,54472,82,1,2,0
2156,53838,80,1,0,0
2156,54484,82,1,0,0
2156,54019,81,0,0,0
877,51036,98,0,0,0
877,51037,98,0,0,1
877,51038,98,1,0,2
877,51039,98,1,1,2
877,51108,98,0,2,2
877,51109,98,0,2,3
877,51110,98,0,2,4
877,51111,98,0,2,5
877,51012,98,1,2,6
877,51120,98,1,3,6
877,51116,98,0,4,6
2940,54011,81,0,0,3
2940,53842,80,1,1,0
2940,54108,43,1,0,1
2940,54112,43,1,1,1
2940,53838,80,1,2,0
2923,51052,98,1,0,0
2923,89016,69,1,0,0
2923,51020,98,0,1,0
2049,75278,22,1,0,0
2044,79245,21,1,0,0
2042,75265,68,1,0,0
2044,79190,21,1,1,0
2042,79845,21,1,0,0
2049,75250,68,1,0,0
